date,OT,1,2,3,4,5,6,7,8
2016/1/1,82.71,4,24,0.29,17597,21,6,0.13,0.35
2016/1/2,82.71,4,24,0.29,17614,21,6,0.13,0.35
2016/1/3,83.71,4,24,0.29,17653,21,6,0.13,0.35
2016/1/4,82.71,4,24,0.29,17638,20.5,6,0.14,0.35
2016/1/5,82.74,4,24,1.26,17610,20.5,5.8,0.14,1.5
2016/1/6,81.75,4,24,1.25,17668,20.5,5.8,0.12,1.5
2016/1/7,82.74,4,24,1.26,17651,20.5,5.8,0.13,1.5
2016/1/8,81.75,4,24,1.25,17789,20.5,5.8,0.13,1.5
2016/1/9,83.72,4,24,1.28,18022,20,5.6,0.13,1.5
2016/1/10,83.66,4,24,0.34,18298,20,5.8,0.13,0.4
2016/1/11,83.66,4,24,0.34,18578,20,5.8,0.13,0.4
2016/1/12,81.67,4,24,0.33,18480,20,5.8,0.13,0.4
2016/1/13,81.67,4,24,0.33,18003,20,5.8,0.13,0.4
2016/1/14,83.66,4,24,0.34,17913,20,5.8,0.13,0.4
2016/1/15,80.62,4,24,3.38,18163,20,5.8,0.13,4.02
2016/1/16,83.53,4,23.75,1.47,17890,19.5,5.8,0.13,1.73
2016/1/17,83.53,4,24,1.47,18059,19.5,5.8,0.13,1.73
2016/1/18,83.53,4,24,1.47,18175,19.5,5.6,0.13,1.73
2016/1/19,83.53,4,24,1.47,18230,19.5,5.5,0.13,1.73
2016/1/20,82.55,4,24,1.45,18147,19.5,5.5,0.13,1.73
2016/1/21,83.58,4,24,1.42,17720,19.2,5.5,0.13,1.67
2016/1/22,82.6,4,24,1.4,18038,19.2,5.4,0.13,1.67
2016/1/23,81.61,4,24,1.39,18534,19.2,5.4,0.13,1.67
2016/1/24,82.6,4,24,1.4,18357,19.2,5.4,0.13,1.67
2016/1/25,82.6,4,24,1.4,18031,19.2,5.4,0.13,1.67
2016/1/26,81.8,4,24,1.2,18179,19.2,5.3,0.13,1.44
2016/1/27,83.78,4,24,1.22,18284,19.1,5.2,0.13,1.44
2016/1/28,83.78,4,24,1.22,18162,19,5.2,0.13,1.44
2016/1/29,83.78,4,24,1.22,17862,19,5.2,0.13,1.44
2016/1/30,85.75,4,24,1.25,18045,19.2,5.2,0.13,1.44
2016/1/31,82.57,4,24,1.43,16954,19,4.5,0.13,1.7
2016/2/1,83.55,4,24,1.45,16519,19,4.5,0.13,1.7
2016/2/2,80.61,4,24,1.39,16429,19,4.5,0.12,1.7
2016/2/3,84.54,4,24,1.46,17465,19,4.5,0.12,1.7
2016/2/4,84.54,4,24,1.46,17677,19,4.5,0.12,1.7
2016/2/5,80.79,4,24,5.21,17536,19,4.5,0.12,6.06
2016/2/6,78.91,4,24,5.09,17902,19,4.3,0.12,6.06
2016/2/7,79.85,4,24,5.15,18126,19,4,0.12,6.06
2016/2/8,83.33,4,24,1.67,17983,19,4,0.12,1.96
2016/2/9,83.36,4,24,1.64,17429,19,4,0.12,1.93
2016/2/10,82.63,4,24,1.37,18082,19,4,0.12,1.63
2016/2/11,85.24,4,24,1.76,17985,19,3.8,0.12,2.02
2016/2/12,85.24,4,24,1.76,18151,19,3.8,0.12,2.02
2016/2/13,84.73,4,24,2.27,18270,19,3.6,0.12,2.61
2016/2/14,82.78,4,24,2.22,17853,19,3.5,0.12,2.61
2016/2/15,86.8,4,24,0.2,17779,19,3.5,0.12,0.23
2016/2/16,85.68,4,23.75,0.32,17942,19,3.5,0.12,0.37
2016/2/17,85.59,4,24,0.41,18103,18.5,3.4,0.12,0.48
2016/2/18,86.58,4,24,0.42,18345,18.5,3.4,0.12,0.48
2016/2/19,87.74,4,24,0.26,18251,18.5,3.4,0.12,0.3
2016/2/20,87.45,4,24,0.55,18336,18.5,3.4,0.12,0.62
2016/2/21,88.51,4,24,0.49,18203,18.5,3.4,0.12,0.55
2016/2/22,88.47,4,24,0.53,18098,18.5,3.4,0.12,0.6
2016/2/23,87.47,4,24,0.53,17779,18.5,3.4,0.12,0.6
2016/2/24,86.48,4,24,0.52,17861,18.5,3.3,0.12,0.6
2016/2/25,86.48,4,24,0.52,17602,18.5,3.3,0.12,0.6
2016/2/26,82.5,4,24,0.5,17103,18.5,2.8,0.12,0.6
2016/2/27,89.73,4,24,0.27,17790,18.5,3,0.12,0.3
2016/2/28,88.73,4,24,0.27,17764,18.5,3,0.12,0.3
2016/2/29,87.74,4,24,0.26,17683,18.5,3,0.12,0.3
2016/3/1,87.74,4,24,0.26,17824,18.5,3,0.12,0.3
2016/3/2,87.74,4,24,0.26,17844,18.5,3,0.12,0.3
2016/3/3,86.56,4,24,1.44,17987,18.5,3,0.12,1.64
2016/3/4,86.56,4,24,1.44,17952,18.5,3,0.12,1.64
2016/3/5,87.54,4,24,1.46,17693,18.5,3,0.12,1.64
2016/3/6,85.57,4,24,1.43,17988,18.5,3,0.12,1.64
2016/3/7,87.54,4,24,1.46,18776,18.5,3,0.12,1.64
2016/3/8,86.96,4,24,0.04,17968,18.5,3,0.12,0.05
2016/3/9,86.96,4,24,0.04,18058,18.5,3,0.12,0.05
2016/3/10,84.96,4,24,0.04,17983,18.5,2.8,0.12,0.05
2016/3/11,84.96,4,24,0.04,18323,18.5,2.6,0.12,0.05
2016/3/12,85.96,4,24,0.04,18287,18,2.6,0.12,0.05
2016/3/13,84,4,24,0,16731,18,2.6,0.12,0
2016/3/14,87,4,24,0,17038,18,2.8,0.12,0
2016/3/15,88,4,24,0,17788,18,2.8,0.12,0
2016/3/16,88,4,23.75,0,17293,18,2.8,0.12,0
2016/3/17,87,4,24,0,18258,18,2.8,0.12,0
2016/3/18,87.87,4,24,0.13,17780,18,2.7,0.12,0.15
2016/3/19,85.87,4,24,0.13,17861,18,2.7,0.12,0.15
2016/3/20,85.87,4,24,0.13,17748,18,2.6,0.12,0.15
2016/3/21,85.87,4,24,0.13,17559,18,2.5,0.12,0.15
2016/3/22,86.87,4,24,0.13,17579,18,2.6,0.12,0.15
2016/3/23,84.83,4,24,0.17,17609,18,2.6,0.12,0.2
2016/3/24,84.83,4,24,0.17,17783,18,2.6,0.12,0.2
2016/3/25,87.82,4,24,0.18,17843,18,2.6,0.12,0.2
2016/3/26,85.83,4,24,0.17,17738,18,2.6,0.12,0.2
2016/3/27,85.83,4,24,0.17,17652,18,2.5,0.12,0.2
2016/3/28,84.83,4,24,0.17,17429,18,2.5,0.12,0.2
2016/3/29,83.79,4,24,0.21,17505,18,2.4,0.12,0.25
2016/3/30,82.92,4,24,0.08,17733,18,2.4,0.12,0.1
2016/3/31,80.92,4,24,0.08,17686,18,2.3,0.12,0.1
2016/4/1,80.92,4,24,0.08,17911,18,2.2,0.12,0.1
2016/4/2,81.92,4,24,0.08,17782,18,2.2,0.12,0.1
2016/4/3,81.92,4,24,0.08,17806,18,2.2,0.12,0.1
2016/4/4,82.71,4,24,0.29,16936,18,2.2,0.12,0.35
2016/4/5,82.71,4,24,0.29,17207,18,2.2,0.12,0.35
2016/4/6,85.7,4,24,0.3,17753,18,2.2,0.12,0.35
2016/4/7,83.71,4,24,0.29,17021,18,2.2,0.12,0.35
2016/4/8,34.88,4,10,0.12,8086,23,0,0.12,0.35
2016/4/13,73.36,4,21,1.64,14204,17,0,0.12,2.19
2016/4/14,83.94,4,24,2.06,17062,17,0.8,0.12,2.39
2016/4/15,85.23,4,24,0.77,16647,17,1.2,0.12,0.9
2016/4/16,82.21,4,24,0.79,16440,17,1.3,0.12,0.95
2016/4/17,83.2,4,24,0.8,16421,17,1.4,0.12,0.95
2016/4/18,83.2,4,24,0.8,16542,17,1.4,0.12,0.95
2016/4/19,83.2,4,24,0.8,16478,17,1.5,0.12,0.95
2016/4/20,83.2,4,24,0.8,16550,17,1.5,0.12,0.95
2016/4/21,83.92,4,24,0.08,16886,17,1.4,0.12,0.1
2016/4/22,83.92,4,24,0.08,17332,17,1.4,0.12,0.1
2016/4/23,83.92,4,24,0.08,17123,17,1.4,0.12,0.1
2016/4/24,83.92,4,24,0.08,17611,17,1.3,0.12,0.1
2016/4/25,83.92,4,24,0.08,17020,17,1.3,0.12,0.1
2016/4/26,83.71,4,24,0.29,16378,16.8,1.3,0.12,0.35
2016/4/27,82.71,4,24,0.29,16532,16.8,1.2,0.12,0.35
2016/4/28,83.71,4,24,0.29,16701,16.8,1.2,0.12,0.35
2016/4/29,83.71,4,24,0.29,16853,16.8,1.2,0.12,0.35
2016/4/30,83.71,4,24,0.29,16690,16.8,1.2,0.12,0.35
2016/5/1,82.92,4,24,0.08,16782,16.8,1.2,0.12,0.1
2016/5/2,84.91,4,24,0.09,16474,16.8,1.1,0.12,0.1
2016/5/3,84.91,4,24,0.09,16669,16.8,1.1,0.12,0.1
2016/5/4,84.91,4,24,0.09,16669,16.8,1.1,0.12,0.1
2016/5/5,84.91,4,24,0.09,16812,16.8,1.1,0.12,0.1
2016/5/6,84.79,4,24,0.21,16998,16.8,1,0.12,0.25
2016/5/7,82.79,4,24,0.21,16992,16.8,1,0.12,0.25
2016/5/8,82.79,4,24,0.21,16962,16.8,0.9,0.12,0.25
2016/5/9,82.79,4,24,0.21,16824,16.8,0.9,0.12,0.25
2016/5/10,82.79,4,24,0.21,16775,16.8,0.8,0.12,0.25
2016/5/11,81.88,4,24,0.12,16732,16.8,0.8,0.12,0.15
2016/5/12,81.88,4,24,0.12,16630,16.8,0.7,0.12,0.15
2016/5/13,81.88,4,24,0.12,16670,16.8,0.7,0.12,0.15
2016/5/14,81.88,4,24,0.12,16609,16.8,0.65,0.12,0.15
2016/5/15,82.88,4,24,0.12,16517,16.8,0.6,0.12,0.15
2016/5/16,81.92,4,23.75,0.08,16452,16.8,0.6,0.12,0.1
2016/5/17,82.92,4,24,0.08,16214,16.5,0.65,0.12,0.1
2016/5/18,83.92,4,24,0.08,16484,16,0.7,0.12,0.1
2016/5/19,83.92,4,24,0.08,16354,16,0.7,0.12,0.1
2016/5/20,84.91,4,24,0.09,16655,16,0.7,0.12,0.1
2016/5/21,82.83,4,24,0.17,16544,16,0.7,0.12,0.2
2016/5/22,82.83,4,24,0.17,16717,16,0.65,0.12,0.2
2016/5/23,81.84,4,24,0.16,16628,16,0.65,0.12,0.2
2016/5/24,82.83,4,24,0.17,16695,16,0.6,0.12,0.2
2016/5/25,81.84,4,24,0.16,16958,16,0.55,0.12,0.2
2016/5/26,81.96,4,24,0.04,16700,16,0.54,0.12,0.05
2016/5/27,81.96,4,24,0.04,16887,16,0.52,0.12,0.05
2016/5/28,81.96,4,24,0.04,16728,16,0.5,0.12,0.05
2016/5/29,80.96,4,24,0.04,16632,16,0.48,0.12,0.05
2016/5/30,80.96,4,24,0.04,16700,16,0.44,0.12,0.05
2016/5/31,80.59,4,24,0.41,16650,15.8,0.42,0.12,0.5
2016/6/1,81.59,4,24,0.41,16675,15.8,0.34,0.12,0.5
2016/6/2,80.59,4,24,0.41,16684,15.8,0.3,0.12,0.5
2016/6/3,79.6,4,24,0.4,16629,15.8,0.26,0.12,0.5
2016/6/4,80.59,4,24,0.41,16589,15.8,0.21,0.12,0.5
2016/6/5,80,4,24,0,16221,15.7,0.18,0.12,0
2016/6/6,77,4,24,0,16369,15.7,0.25,0.12,0
2016/6/7,76,4,24,0,15907,15.4,0.26,0.12,0
2016/6/8,76,4,24,0,15904,15.5,0.23,0.12,0
2016/6/9,76,4,24,0,15907,15.3,0.23,0.12,0
2016/6/10,75.77,4,24,0.23,16493,15.3,0.2,0.12,0.3
2016/6/11,75.77,4,24,0.23,16716,15.3,0.16,0.12,0.3
2016/6/12,76.77,4,24,0.23,16369,15.3,0.12,0.12,0.3
2016/6/13,75.77,4,24,0.23,15906,15.3,0.1,0.12,0.3
2016/6/14,75.77,4,24,0.23,15755,15.3,0.07,0.12,0.3
2016/6/15,76.31,4,24,0.69,15693,15.3,0.07,0.14,0.9
2016/6/16,76.31,4,23.75,0.69,15883,15.3,0.03,0.14,0.9
2016/6/17,76.31,4,24,0.69,15806,15.3,0.03,0.14,0.9
2016/6/18,76.31,4,24,0.69,15522,15.3,0.01,0.14,0.9
2016/6/19,76.31,4,24,0.69,15986,15.3,0,0.14,0.9
