date,OT,1,2,3,4,5,6,7,8
2016/10/8,59.78,4,13.75,0.22,8750,27.2,12,0.1,0.37
2016/10/9,101.69,4,24,0.31,15082,25.2,9.2,0.1,0.3
2016/10/10,81.89,3,23.75,0.11,12328,25,5.4,0.1,0.13
2016/10/11,69.89,3,24,0.11,10320,25.2,6.5,0.13,0.15
2016/10/12,69.93,3,24,0.07,10332,25.2,7,0.12,0.1
2016/10/13,69.93,3,24,0.07,10425,25.2,7,0.12,0.1
2016/10/14,69.93,3,24,0.07,10512,25.2,7,0.13,0.1
2016/10/15,66.93,3,24,0.07,10440,25.2,7,0.14,0.1
2016/10/16,66.93,3,23.75,0.07,10495,25.2,7,0.14,0.1
2016/10/17,70.93,3,24,0.07,10522,25,7,0.14,0.1
2016/10/18,69.93,3,24,0.07,10536,25,7,0.14,0.1
2016/10/19,70.93,3,24,0.07,10485,25,7,0.12,0.1
2016/10/20,70.93,3,24,0.07,10468,25,6.9,0.13,0.1
2016/10/21,70.93,3,24,0.07,10512,25,6.9,0.14,0.1
2016/10/22,70.93,3,24,0.07,10440,25,6.7,0.13,0.1
2016/10/23,70.72,3,24,0.28,10464,25,6.7,0.13,0.4
2016/10/24,70.72,3,24,0.28,10482,24.8,6.7,0.13,0.4
2016/10/25,70.72,3,24,0.28,10459,24.8,6.7,0.13,0.4
2016/10/26,70.72,3,24,0.28,10468,24.8,6.7,0.13,0.4
2016/10/27,70.72,3,24,0.28,10476,24.8,6.6,0.14,0.4
2016/10/28,70.64,3,24,0.36,10465,24.8,6.6,0.13,0.5
2016/10/29,70.64,3,24,0.36,10440,24.8,6.6,0.13,0.5
2016/10/30,70.64,3,24,0.36,10455,24.8,6.6,0.13,0.5
2016/10/31,70.64,3,24,0.36,10496,24.8,6.6,0.13,0.5
2016/11/1,70.64,3,24,0.36,10514,24.8,6.6,0.14,0.5
2016/11/2,70.64,3,24,0.36,10392,24.8,6.6,0.14,0.5
2016/11/3,71.64,3,24,0.36,10465,24.8,6.6,0.13,0.5
2016/11/4,71.64,3,24,0.36,10432,24.8,6.6,0.13,0.5
2016/11/5,71.64,3,24,0.36,10396,24.8,6.6,0.14,0.5
2016/11/6,70.64,3,24,0.36,10368,24.8,6.6,0.14,0.5
2016/11/7,29.82,3,10,0.18,4330,26,5.3,0.13,0.6
2016/11/8,56.66,3,20,0.34,8700,25.2,8,0.13,0.6
2016/11/9,68.59,3,24,0.41,10486,24.8,7,0.13,0.6
2016/11/10,67.59,3,24,0.41,10446,24.8,6.8,0.14,0.6
2016/11/11,68.59,3,24,0.41,10491,24.8,6.7,0.14,0.6
2016/11/12,67.63,3,24,0.37,10472,24.8,6.7,0.14,0.55
2016/11/13,67.63,3,24,0.37,10439,24.8,6.6,0.14,0.55
2016/11/14,67.63,3,24,0.37,10481,24.8,6.6,0.13,0.55
2016/11/15,67.63,3,24,0.37,10472,24.6,6.6,0.14,0.55
2016/11/16,67.63,3,23.75,0.37,10445,24.6,6.6,0.13,0.55
2016/11/17,67.86,3,24,0.14,10483,24.6,6.5,0.13,0.2
2016/11/18,69.86,3,24,0.14,10494,24.6,6.5,0.13,0.2
2016/11/19,70.86,3,24,0.14,10412,24.6,6.5,0.14,0.2
